127.0.0.1 - - [10/Jun/2024:18:41:45 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Jun/2024:18:41:47 +0530] "GET /HospitalManagement/ HTTP/1.1" 200 21100
0:0:0:0:0:0:0:1 - - [10/Jun/2024:18:41:47 +0530] "GET /HospitalManagement/component/styles.css HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [10/Jun/2024:18:41:47 +0530] "GET /HospitalManagement/images/doc3.jpg HTTP/1.1" 200 1909565
0:0:0:0:0:0:0:1 - - [10/Jun/2024:18:41:47 +0530] "GET /HospitalManagement/images/doc2.jpg HTTP/1.1" 200 3724146
0:0:0:0:0:0:0:1 - - [10/Jun/2024:18:41:47 +0530] "GET /HospitalManagement/images/doctor1.jpg HTTP/1.1" 200 3883038
0:0:0:0:0:0:0:1 - - [10/Jun/2024:18:41:47 +0530] "GET /HospitalManagement/images/doctor.png HTTP/1.1" 200 6239
0:0:0:0:0:0:0:1 - - [10/Jun/2024:18:41:47 +0530] "GET /HospitalManagement/images/24-7.png HTTP/1.1" 200 19446
0:0:0:0:0:0:0:1 - - [10/Jun/2024:18:41:47 +0530] "GET /HospitalManagement/images/emergency-services.png HTTP/1.1" 200 13270
0:0:0:0:0:0:0:1 - - [10/Jun/2024:18:41:47 +0530] "GET /HospitalManagement/images/midical.jpg HTTP/1.1" 200 273925
0:0:0:0:0:0:0:1 - - [10/Jun/2024:18:41:47 +0530] "GET /HospitalManagement/images/bed.jpg HTTP/1.1" 200 1103782
0:0:0:0:0:0:0:1 - - [10/Jun/2024:18:41:47 +0530] "GET /HospitalManagement/images/first-aid-kit.png HTTP/1.1" 200 8996
0:0:0:0:0:0:0:1 - - [10/Jun/2024:18:41:47 +0530] "GET /HospitalManagement/images/lab.png HTTP/1.1" 200 19416
0:0:0:0:0:0:0:1 - - [10/Jun/2024:18:41:47 +0530] "GET /HospitalManagement/images/medical-checkup.png HTTP/1.1" 200 10782
0:0:0:0:0:0:0:1 - - [10/Jun/2024:18:41:47 +0530] "GET /HospitalManagement/images/heart-rate.png HTTP/1.1" 200 16313
0:0:0:0:0:0:0:1 - - [10/Jun/2024:18:41:48 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Jun/2024:18:41:58 +0530] "GET /HospitalManagement/index.jsp HTTP/1.1" 200 21100
0:0:0:0:0:0:0:1 - - [10/Jun/2024:18:42:00 +0530] "GET /HospitalManagement/adminLogin.jsp HTTP/1.1" 200 5344
0:0:0:0:0:0:0:1 - - [10/Jun/2024:18:42:00 +0530] "GET /HospitalManagement/images/adminlogin.jpg HTTP/1.1" 200 142316
0:0:0:0:0:0:0:1 - - [10/Jun/2024:18:42:05 +0530] "GET /HospitalManagement/doctorLogin.jsp HTTP/1.1" 200 5363
0:0:0:0:0:0:0:1 - - [10/Jun/2024:18:42:05 +0530] "GET /HospitalManagement/images/doctorLogin.jpg HTTP/1.1" 200 74351
0:0:0:0:0:0:0:1 - - [10/Jun/2024:18:42:08 +0530] "GET /HospitalManagement/userAfterLogin/userIndex.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jun/2024:18:42:08 +0530] "GET /HospitalManagement/userLogin.jsp HTTP/1.1" 200 5217
0:0:0:0:0:0:0:1 - - [10/Jun/2024:18:42:09 +0530] "GET /HospitalManagement/images/userlogin.jpg HTTP/1.1" 200 2175195
0:0:0:0:0:0:0:1 - - [10/Jun/2024:18:42:12 +0530] "GET /HospitalManagement/userLogin.jsp HTTP/1.1" 200 5217
0:0:0:0:0:0:0:1 - - [10/Jun/2024:18:42:14 +0530] "GET /HospitalManagement/userAfterLogin/userIndex.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jun/2024:18:42:14 +0530] "GET /HospitalManagement/userLogin.jsp HTTP/1.1" 200 5217
0:0:0:0:0:0:0:1 - - [10/Jun/2024:18:42:16 +0530] "GET /HospitalManagement/userAfterLogin/userIndex.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jun/2024:18:42:16 +0530] "GET /HospitalManagement/userLogin.jsp HTTP/1.1" 200 5217
0:0:0:0:0:0:0:1 - - [10/Jun/2024:18:42:18 +0530] "GET /HospitalManagement/doctorLogin.jsp HTTP/1.1" 200 5363
0:0:0:0:0:0:0:1 - - [10/Jun/2024:18:42:20 +0530] "GET /HospitalManagement/adminLogin.jsp HTTP/1.1" 200 5344
0:0:0:0:0:0:0:1 - - [10/Jun/2024:18:42:21 +0530] "GET /HospitalManagement/index.jsp HTTP/1.1" 200 21100
0:0:0:0:0:0:0:1 - - [10/Jun/2024:18:42:23 +0530] "GET /HospitalManagement/doctorLogin.jsp HTTP/1.1" 200 5363
0:0:0:0:0:0:0:1 - - [10/Jun/2024:18:42:25 +0530] "GET /HospitalManagement/adminLogin.jsp HTTP/1.1" 200 5344
